n,T,p,Tn,sv_sigma,sv_rho,lam,target_radius,seed,path,status,phase1_assembly_time,phase2_factor_time,phase3_solve_time,total_time,iters,hit_maxiter,relative_residual,H_B_nnz,Kbar_nnz_estimate,Kbar_csr_bytes_estimate,M_m_nnz,L_factor_nnz,skip_direct
5,480,24,2400,0.5,0.95,10000.0,0.9,1,direct_splu,ok,0.039143208996392787,0.02731512501486577,0.0003879580181092024,0.06684629202936776,0,0,5.592709755127822e-12,282900,588000,9408000.0,795,777740,0
5,480,24,2400,0.5,0.95,10000.0,0.9,1,pcg_time_avg_chol_explicit_avgK,ok,0.03938320800079964,0.015009542024927214,0.1881873749953229,0.24258012502104975,433,0,9.893923035016866e-09,282900,588000,9408000.0,795,316225,0
5,480,24,2400,0.5,0.95,10000.0,0.9,1,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,0.0007876641600159928,0.0003001908404985443,0.1881873749953229,0.18927522999583743,433,0,9.893923035016866e-09,282900,588000,9408000.0,795,316225,0
5,480,24,2400,0.5,0.95,10000.0,0.9,7,direct_cholmod,ok,0.03833275000215508,0.014712749980390072,0.00018408300820738077,0.05322958299075253,0,0,1.1295925506875564e-12,282900,588000,9408000.0,795,316225,0
5,480,24,2400,0.5,0.95,10000.0,0.9,7,direct_splu,ok,0.03898220899282023,0.027380667015677318,0.000388374988688156,0.06675125099718571,0,0,2.5027763044992472e-12,282900,588000,9408000.0,795,780150,0
5,480,24,2400,0.5,0.95,10000.0,0.9,7,pcg_time_avg_chol_explicit_avgK,ok,0.03858454100554809,0.014809000014793128,0.3595489169820212,0.4129424580023624,832,0,9.249114845163501e-09,282900,588000,9408000.0,795,316225,0
5,480,24,2400,0.5,0.95,10000.0,0.9,7,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,0.0007716908201109618,0.00029618000029586256,0.3595489169820212,0.360616787802428,832,0,9.249114845163501e-09,282900,588000,9408000.0,795,316225,0
5,1920,2,9600,0.1,0.95,10000.0,0.9,0,direct_cholmod,ok,0.014338792010676116,0.0026552499912213534,0.00011545798042789102,0.01710949998232536,0,0,7.913726592401935e-13,105525,240000,3840000.0,3195,129198,0
5,1920,2,9600,0.1,0.95,10000.0,0.9,0,direct_splu,ok,0.014418917009606957,0.0053218340035527945,0.00038370798574760556,0.020124458998907357,0,0,5.135931098138306e-13,105525,240000,3840000.0,3195,276504,0
5,1920,2,9600,0.1,0.95,10000.0,0.9,0,pcg_time_avg_chol_explicit_avgK,ok,0.014374958002008498,0.0026939589879475534,0.00723904199548997,0.02430795898544602,28,0,8.155622534250539e-09,105525,240000,3840000.0,3195,129198,0
5,1920,2,9600,0.1,0.95,10000.0,0.9,0,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,0.00028749916004016995,5.387917975895107e-05,0.00723904199548997,0.007580420335289091,28,0,8.155622534250539e-09,105525,240000,3840000.0,3195,129198,0
