n,T,p,Tn,sv_sigma,sv_rho,lam,target_radius,seed,path,status,phase1_assembly_time,phase2_factor_time,phase3_solve_time,total_time,iters,hit_maxiter,relative_residual,L_factor_nnz,bandwidth_u,banded_ab_bytes,banded_factor_bytes,H_B_nnz,Kbar_nnz_estimate,Kbar_csr_bytes_estimate,M_m_nnz,skip_direct,banded_total_bytes_estimate,skip_banded
5,480,12,2400,0.1,0.95,10000.0,0.9,1,pcg_time_avg_chol_explicit_avgK,ok,0.014021083014085889,0.004481667012441903,0.0054311669955495745,0.023933917022077367,20,0,6.868742941133645e-09,160975,-1,-1,-1,144450,300000,4800000.0,795,0,2496000,0
5,480,12,2400,0.1,0.95,10000.0,0.9,1,pcg_banded_time_avg_precision_chol,ok,0.021155916998395696,0.0012604169896803796,0.004700874997070059,0.027117208985146135,20,0,6.86872897133306e-09,-1,64,1248000,1248000,144450,300000,4800000.0,795,0,2496000,0
5,480,12,2400,0.1,0.95,10000.0,0.9,7,direct_cholmod,ok,0.014523458987241611,0.0053739580034743994,0.00010762500460259616,0.020005041995318606,0,0,4.121883124863636e-13,160975,-1,-1,-1,144450,300000,4800000.0,795,0,2496000,0
5,480,12,2400,0.1,0.95,10000.0,0.9,7,pcg_time_avg_chol_explicit_avgK,ok,0.014644416980445385,0.004097500001080334,0.005924791999859735,0.024666708981385455,24,0,6.205958136076463e-09,160975,-1,-1,-1,144450,300000,4800000.0,795,0,2496000,0
5,480,12,2400,0.1,0.95,10000.0,0.9,7,pcg_banded_time_avg_precision_chol,ok,0.02208575000986457,0.0013324169849511236,0.0055694579787086695,0.028987624973524362,24,0,6.205954869999394e-09,-1,64,1248000,1248000,144450,300000,4800000.0,795,0,2496000,0
5,480,12,2400,0.3,0.95,10000.0,0.9,0,direct_cholmod,ok,0.014107333001447842,0.0040876250131987035,0.00012108299415558577,0.01831604100880213,0,0,7.512839022417217e-13,160975,-1,-1,-1,144450,300000,4800000.0,795,0,2496000,0
5,480,12,2400,0.3,0.95,10000.0,0.9,0,pcg_time_avg_chol_explicit_avgK,ok,0.014188250002916902,0.0045888750173617154,0.03161841700784862,0.05039554202812724,125,0,9.390514596550793e-09,160975,-1,-1,-1,144450,300000,4800000.0,795,0,2496000,0
5,480,12,2400,0.3,0.95,10000.0,0.9,0,pcg_banded_time_avg_precision_chol,ok,0.022040000010747463,0.0015037910197861493,0.02880325002479367,0.05234704105532728,125,0,9.510017510973366e-09,-1,64,1248000,1248000,144450,300000,4800000.0,795,0,2496000,0
5,480,12,2400,0.3,0.95,10000.0,0.9,1,direct_cholmod,ok,0.0147919169976376,0.004478542017750442,0.00010737500269897282,0.019377834018087015,0,0,5.805132510963177e-13,160975,-1,-1,-1,144450,300000,4800000.0,795,0,2496000,0
5,480,12,2400,0.3,0.95,10000.0,0.9,1,pcg_time_avg_chol_explicit_avgK,ok,0.013951291010016575,0.0042848749726545066,0.024829500005580485,0.04306566598825157,98,0,8.4893779838803e-09,160975,-1,-1,-1,144450,300000,4800000.0,795,0,2496000,0
5,480,12,2400,0.3,0.95,10000.0,0.9,1,pcg_banded_time_avg_precision_chol,ok,0.02208274998702109,0.0012050420045852661,0.022914665983989835,0.04620245797559619,98,0,8.49155702097808e-09,-1,64,1248000,1248000,144450,300000,4800000.0,795,0,2496000,0
5,480,12,2400,0.3,0.95,10000.0,0.9,7,direct_cholmod,ok,0.014165415981551632,0.0041845829982776195,0.00011162500595673919,0.01846162398578599,0,0,6.708364603282598e-13,160975,-1,-1,-1,144450,300000,4800000.0,795,0,2496000,0
5,480,12,2400,0.3,0.95,10000.0,0.9,7,pcg_time_avg_chol_explicit_avgK,ok,0.014315083011751994,0.004079334001289681,0.039086832985049114,0.05748124999809079,158,0,9.561295511272497e-09,160975,-1,-1,-1,144450,300000,4800000.0,795,0,2496000,0
5,480,12,2400,0.3,0.95,10000.0,0.9,7,pcg_banded_time_avg_precision_chol,ok,0.021356249984819442,0.0011732089915312827,0.03630829101894051,0.05883774999529123,158,0,9.751827773928056e-09,-1,64,1248000,1248000,144450,300000,4800000.0,795,0,2496000,0
5,480,12,2400,0.5,0.95,10000.0,0.9,0,direct_cholmod,ok,0.014070707984501496,0.0045824170229025185,0.0001058329944498837,0.018758958001853898,0,0,1.9967258290303468e-12,160975,-1,-1,-1,144450,300000,4800000.0,795,0,2496000,0
5,480,12,2400,0.5,0.95,10000.0,0.9,0,pcg_time_avg_chol_explicit_avgK,ok,0.013798707979731262,0.004530792008154094,0.16212324998923577,0.18045274997712113,653,0,8.500207852645525e-09,160975,-1,-1,-1,144450,300000,4800000.0,795,0,2496000,0
5,480,12,2400,0.5,0.95,10000.0,0.9,0,pcg_banded_time_avg_precision_chol,ok,0.022072124993428588,0.0011704160133376718,0.15388641698518768,0.17712895799195394,655,0,9.759346066644452e-09,-1,64,1248000,1248000,144450,300000,4800000.0,795,0,2496000,0
5,480,12,2400,0.5,0.95,10000.0,0.9,1,direct_cholmod,ok,0.016301499999826774,0.004382000013720244,0.00012287500430829823,0.020806375017855316,0,0,1.3274307026628359e-12,160975,-1,-1,-1,144450,300000,4800000.0,795,0,2496000,0
5,480,12,2400,0.5,0.95,10000.0,0.9,1,pcg_time_avg_chol_explicit_avgK,ok,0.014512041991110891,0.004294709011446685,0.10616191700682975,0.12496866800938733,430,0,9.273217527650121e-09,160975,-1,-1,-1,144450,300000,4800000.0,795,0,2496000,0
5,480,12,2400,0.5,0.95,10000.0,0.9,1,pcg_banded_time_avg_precision_chol,ok,0.021473667002283037,0.001239665987668559,0.09868508300860412,0.12139841599855572,430,0,9.789190776631551e-09,-1,64,1248000,1248000,144450,300000,4800000.0,795,0,2496000,0
5,480,12,2400,0.5,0.95,10000.0,0.9,7,direct_cholmod,ok,0.014385832997504622,0.004132958012633026,0.00012166699161753058,0.018640458001755178,0,0,1.877395278378315e-12,160975,-1,-1,-1,144450,300000,4800000.0,795,0,2496000,0
5,480,12,2400,0.5,0.95,10000.0,0.9,7,pcg_time_avg_chol_explicit_avgK,ok,0.014355166989844292,0.0047094580077100545,0.23471437499392778,0.2537789999914821,946,0,9.501728898623513e-09,160975,-1,-1,-1,144450,300000,4800000.0,795,0,2496000,0
5,480,12,2400,0.5,0.95,10000.0,0.9,7,pcg_banded_time_avg_precision_chol,ok,0.021537166991038248,0.001207541994517669,0.21885670800111257,0.24160141698666848,946,0,8.852565856960688e-09,-1,64,1248000,1248000,144450,300000,4800000.0,795,0,2496000,0
5,480,24,2400,0.1,0.95,10000.0,0.9,0,direct_cholmod,ok,0.043928875005804,0.019929833011701703,0.00020837501506321132,0.06406708303256892,0,0,3.433708583869501e-13,316225,-1,-1,-1,282900,588000,9408000.0,795,0,4800000,0
5,480,24,2400,0.1,0.95,10000.0,0.9,0,pcg_time_avg_chol_explicit_avgK,ok,0.04181908298050985,0.014190750021953136,0.010855166998226196,0.06686500000068918,22,0,6.571419089571108e-09,316225,-1,-1,-1,282900,588000,9408000.0,795,0,4800000,0
5,480,24,2400,0.1,0.95,10000.0,0.9,0,pcg_banded_time_avg_precision_chol,ok,0.0597716250049416,0.009567000000970438,0.010819084011018276,0.08015770901693031,22,0,6.5713978162356504e-09,-1,124,2400000,2400000,282900,588000,9408000.0,795,0,4800000,0
5,480,24,2400,0.1,0.95,10000.0,0.9,1,direct_cholmod,ok,0.04031062501599081,0.015512165991822258,0.0002100830024573952,0.05603287401027046,0,0,7.608249173420015e-13,316225,-1,-1,-1,282900,588000,9408000.0,795,0,4800000,0
5,480,24,2400,0.1,0.95,10000.0,0.9,1,pcg_time_avg_chol_explicit_avgK,ok,0.03893624999909662,0.015356457995949313,0.010268917016219348,0.06456162501126528,20,0,9.782817967005895e-09,316225,-1,-1,-1,282900,588000,9408000.0,795,0,4800000,0
5,480,24,2400,0.1,0.95,10000.0,0.9,1,pcg_banded_time_avg_precision_chol,ok,0.05894250000710599,0.009302208985900506,0.009442292008316144,0.07768700100132264,20,0,9.782764028179325e-09,-1,124,2400000,2400000,282900,588000,9408000.0,795,0,4800000,0
5,480,24,2400,0.1,0.95,10000.0,0.9,7,direct_cholmod,ok,0.04111408398603089,0.01613750000251457,0.00019275001250207424,0.05744433400104754,0,0,3.5238126475832897e-13,316225,-1,-1,-1,282900,588000,9408000.0,795,0,4800000,0
5,480,24,2400,0.1,0.95,10000.0,0.9,7,pcg_time_avg_chol_explicit_avgK,ok,0.04059399999096058,0.01612537499750033,0.01084616599837318,0.0675655409868341,24,0,5.2073438688386095e-09,316225,-1,-1,-1,282900,588000,9408000.0,795,0,4800000,0
5,480,24,2400,0.1,0.95,10000.0,0.9,7,pcg_banded_time_avg_precision_chol,ok,0.05996195899206214,0.009734833001857623,0.011158083012560382,0.08085487500648014,24,0,5.207351525088721e-09,-1,124,2400000,2400000,282900,588000,9408000.0,795,0,4800000,0
5,480,24,2400,0.3,0.95,10000.0,0.9,0,direct_cholmod,ok,0.0401409589976538,0.015527166979154572,0.00016879098257049918,0.05583691695937887,0,0,5.839519533137743e-13,316225,-1,-1,-1,282900,588000,9408000.0,795,0,4800000,0
5,480,24,2400,0.3,0.95,10000.0,0.9,0,pcg_time_avg_chol_explicit_avgK,ok,0.04053395800292492,0.016449500020826235,0.05492179200518876,0.11190525002893992,124,0,9.773856200711447e-09,316225,-1,-1,-1,282900,588000,9408000.0,795,0,4800000,0
5,480,24,2400,0.3,0.95,10000.0,0.9,0,pcg_banded_time_avg_precision_chol,ok,0.05975429099635221,0.009751584002515301,0.05764445901149884,0.12715033401036635,125,0,7.453349810923371e-09,-1,124,2400000,2400000,282900,588000,9408000.0,795,0,4800000,0
