axis,axis_value,n,T,p,sv_sigma,sv_rho,lam,target_radius,seed,preconditioner,iters,status,hit_maxiter,relative_residual,setup_time,solve_time,matvec_time_mean,cond_proxy
sv_sigma,0.1,5,480,2,0.1,0.95,10000.0,0.9,0,jacobi,940,0,0,8.9910041805474e-09,4.225000157020986e-05,0.04894679199787788,4.8290996346622705e-05,nan
sv_sigma,0.1,5,480,2,0.1,0.95,10000.0,0.9,0,block_jacobi,1007,0,0,9.31740799702934e-09,0.010287540993886068,0.07174758301698603,4.8290996346622705e-05,nan
sv_sigma,0.1,5,480,2,0.1,0.95,10000.0,0.9,0,time_averaged_lu,24,0,0,9.008901713808639e-09,0.00506870899698697,0.003554499999154359,4.8290996346622705e-05,nan
sv_sigma,0.1,5,480,2,0.1,0.95,10000.0,0.9,0,time_averaged_chol,24,0,0,9.008911333923155e-09,0.004447832994628698,0.0019526669930201024,4.8290996346622705e-05,nan
sv_sigma,0.1,5,480,2,0.1,0.95,10000.0,0.9,0,direct_splu,0,0,0,5.742808569037958e-13,0.001299124996876344,9.758298983797431e-05,4.8290996346622705e-05,nan
sv_sigma,0.1,5,480,2,0.1,0.95,10000.0,0.9,0,direct_cholmod,0,0,0,7.355927028400175e-13,0.0006787909951526672,2.950002090074122e-05,4.8290996346622705e-05,nan
sv_sigma,0.1,5,480,2,0.1,0.95,10000.0,0.9,1,none,1056,0,0,9.119619445132345e-09,1.6600824892520905e-07,0.05447641698992811,4.883299698121846e-05,nan
sv_sigma,0.1,5,480,2,0.1,0.95,10000.0,0.9,1,jacobi,1619,0,0,9.737100185280151e-09,4.279200220480561e-05,0.08811033400706947,4.883299698121846e-05,nan
sv_sigma,0.1,5,480,2,0.1,0.95,10000.0,0.9,1,block_jacobi,1607,0,0,9.326357542481803e-09,0.010476750001544133,0.11700050000217743,4.883299698121846e-05,nan
sv_sigma,0.1,5,480,2,0.1,0.95,10000.0,0.9,1,time_averaged_lu,22,0,0,4.3472351110672775e-09,0.005314041016390547,0.0032954169728327543,4.883299698121846e-05,nan
sv_sigma,0.1,5,480,2,0.1,0.95,10000.0,0.9,1,time_averaged_chol,22,0,0,4.347241677845349e-09,0.00460645800922066,0.0018494999967515469,4.883299698121846e-05,nan
sv_sigma,0.1,5,480,2,0.1,0.95,10000.0,0.9,1,direct_splu,0,0,0,1.2907156914865421e-12,0.00136674998793751,0.00010120798833668232,4.883299698121846e-05,nan
sv_sigma,0.1,5,480,2,0.1,0.95,10000.0,0.9,1,direct_cholmod,0,0,0,1.9039168325875452e-12,0.0006761660042684525,2.866698196157813e-05,4.883299698121846e-05,nan
sv_sigma,0.1,5,480,2,0.1,0.95,10000.0,0.9,7,none,557,0,0,7.69579363211926e-09,3.3300602808594704e-07,0.029289875004906207,5.137501284480095e-05,nan
sv_sigma,0.1,5,480,2,0.1,0.95,10000.0,0.9,7,jacobi,831,0,0,9.171986231326834e-09,3.679198562167585e-05,0.044114167016232386,5.137501284480095e-05,nan
sv_sigma,0.1,5,480,2,0.1,0.95,10000.0,0.9,7,block_jacobi,849,0,0,6.6232343449200285e-09,0.010581958020338789,0.06129324997891672,5.137501284480095e-05,nan
sv_sigma,0.1,5,480,2,0.1,0.95,10000.0,0.9,7,time_averaged_lu,24,0,0,4.45905154720633e-09,0.005382167000789195,0.0035740829771384597,5.137501284480095e-05,nan
sv_sigma,0.1,5,480,2,0.1,0.95,10000.0,0.9,7,time_averaged_chol,24,0,0,4.459039763192286e-09,0.00451745797181502,0.001968334021512419,5.137501284480095e-05,nan
sv_sigma,0.1,5,480,2,0.1,0.95,10000.0,0.9,7,direct_splu,0,0,0,4.930785701575763e-13,0.0013383330078795552,0.0001015419838950038,5.137501284480095e-05,nan
